Year,G,PG,PG-13,R
1983,,73965934.33,25600000,72850000
1984,,79749115.55,27400000,54440055.56
1985,,116003254,40165234.8,53090738.67
1986,,71505377.6,57999807.67,30566153.46
1987,,41525806.63,33334460,42998274.76
1988,48092846,102384512.5,29432348.67,31353755.14
1989,,62274401.71,80589049.86,35619657.65
1990,,122909762.8,76796541.9,67238608.67
1991,,69206276.4,63434972.86,45847714.33
1992,122315863,89440909.5,65090344.71,52694707.52
1993,1394635,32852199.91,96512640.36,31335468.38
1994,422783777,52284146.33,66928797.71,42955371.23
1995,133332077.7,86649040.4,63875512.67,29083240.52
1996,57604572.5,48685798,59455506.41,31602635.6
1997,30930289.5,32225779.5,82901419.4,33766812.78
1998,72680506.5,55811544.09,58315220.73,25954561.51
1999,59979199.33,79834446.79,45148132.98,28713032.34
2000,66831206.5,59302831.94,58213681.03,26795452.88
2001,105306415.8,63827997.11,60347937.21,24107413.97
2002,63170320.17,74734675.65,62389446.53,21627480.33
2003,214363406.5,60564744.36,61420925.86,33672908.67
2004,47907430.5,61449138.72,49718147.87,22810976.63
2005,56682216.14,62454028.97,57707300.56,20561916.08
2006,98069663.5,50208065.6,54272099.11,21979444.81
2007,108394591.5,80185644.35,67275862.36,22673937.18
2008,62960981.71,59149424.96,63221634.45,22164496.37
2009,51309226.5,75261196,59418070.79,26052707.41
2010,220572951.5,84712401.54,59639229.65,26582902.56
2011,113572260.4,65458196.68,59954434.89,26806251.38
2012,1064277,76769668.17,95078781.4,38356603.15
2013,268488329,89040471,78793895.11,34387924.54
2014,65818129.5,94737720.91,80998427.26,37939958.67
2015,130174897,113802693.7,81713647.36,35958671.79
2016,,167961108.1,78311932,46906710.17
